1904021	2
1904022	21
1904041	18
1904042	25
1904092	21
1904102	11
1904103	12
1904104	12
1904113	13
1904114	4
1904115	11
1904122	19
1904131	11
1904132	2
1904152	14
1904182	4
1904183	0
1904191	6
1904192	12
1904193	15
1904221	17
1904222	13
1904231	10
1904232	24
1904241	10
1904242	2
1904243	1
1904244	18
1904251	19
1904261	11
1904292	17
1904301	3
1904302	16
1904303	21
1904304	14
1905051	16
1905061	10
1905062	13
1905063	14
1905071	15
1905072	16
1905081	19
1905082	23
1905091	20
1905092	24
1905093	14
1905101	13
1905102	17
1905103	15
1905104	20
1905111	21
1905131	20
1905191	12
1905192	8
1905193	19
1905194	6
1905195	8
1905201	1
1905202	10
1905222	21
1905232	3
1905233	22
1905283	15
1905291	23
1905292	20
1905301	21
1905302	20
1905303	26
1906032	24
1906042	24
1906051	19
1906052	24
1906082	18
1906101	24
1906141	21
1906142	13
1906161	16
1906162	26
1906201	15
1906202	19
1906231	21
1907011	10
1907031	12
1907051	12
1907052	19
1907102	2
1907112	3
1907122	24
1907123	12
1907124	9
1907161	17
1907191	16
1907232	20
1907233	24
1907234	16
1907235	24
